,Fecha,evapotranspiration,gross_primary_productivity,EMA 1,EMA 2,Evento extremo
287,2007-04-03,3.131,6.723,3.178686170169214,6.664810878319195,0
288,2007-04-11,3.428,6.538,3.224015952556106,6.641754374408708,0
289,2007-04-19,2.71,7.071,3.1305585135726273,6.71979905164024,0
290,2007-04-27,3.339,6.821,3.168456963222797,6.738199242102402,0
291,2007-05-05,2.489,6.691,3.0449193484579236,6.729617558945821,0
292,2007-05-13,2.519,6.085,2.9492976584484394,6.61241437334603,0
293,2007-05-21,3.225,5.487,2.9994253395728268,6.407793576111463,0
294,2007-05-29,2.125,5.374,2.840438914195949,6.2198311209056065,0
295,2007-06-06,2.384,4.667,2.757450032149868,5.937498156539956,0
296,2007-06-14,1.96,4.449,2.6124591241493413,5.666862106577125,0
297,2007-06-22,2.306,4.825,2.5567392823545436,5.513796234338582,0
298,2007-06-30,1.727,4.545,2.4058775943069266,5.337651478330466,0
299,2007-07-08,1.728,4.908,2.2826271307643387,5.259533026337764,0
300,2007-07-16,2.713,5.221,2.3608767541031512,5.2525270569217275,0
301,2007-07-24,2.828,5.568,2.4458082658415874,5.309885744714634,0
302,2007-08-01,2.225,5.454,2.4056612910763113,5.3360883358911195,0
303,2007-08-09,2.363,5.543,2.3979046774400112,5.373708678684087,0
304,2007-08-17,2.105,5.984,2.344649285009734,5.484670774558554,0
305,2007-08-25,3.363,6.753,2.5298039452037204,5.715276048741045,0
306,2007-09-02,3.262,7.001,2.662930515880015,5.949044026700992,0
307,2007-09-10,2.701,7.176,2.669852235757188,6.172126952438197,0
308,2007-09-18,3.359,6.557,2.79515182336044,6.242103899307122,0
309,2007-09-26,3.326,6.26,2.8916696691502635,6.245357777411615,0
310,2007-10-04,3.333,5.816,2.9719115374296496,6.167292724198814,0
311,2007-10-12,3.389,7.551,3.047745792254231,6.418875886754596,0
312,2007-10-20,2.852,5.853,3.012155647861216,6.315989391714121,0
313,2007-10-28,2.547,5.291,2.927581881220168,6.129627664015876,0
314,2007-11-05,3.377,6.763,3.0092942834456067,6.244786272639189,0
315,2007-11-13,2.579,6.147,2.9310589584891877,6.227006920517158,0
316,2007-11-21,2.7319999,5.117,2.894866397693879,6.025187499149825,0
317,2007-11-29,3.274,5.552,2.9637997671001006,5.939153416718288,0
318,2007-12-07,3.327,6.086,3.0298361553955773,5.96585278925455,0
319,2007-12-15,3.138,7.0360003,3.0495023110407615,6.160425055166453,0
