CodDependencia,Dependencia,Tipo de Inversión,CodBPIN,Nombre_proy_Ajustado,Comuna,NomComuna,Inversion,Año,Corte,Codigo Dependencia,Nombre Proyecto,Nombre Comuna
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,50061.0,PP FORTALECIMENTO Y ASISTENCIA A LOS DERECHOS HUMANOS,80.0,San Antonio de Prado,"33,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,50084.0,"PP Apoyo a la modernizacion, fortalecimiento y transformacion de los organimos de",1.0,Popular,"33,548,421",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,50083.0,Casa De Justicia,1.0,Popular,"100,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,40316.0,PP FORTALECIMIENTO DE LAS RELACIONES FAMILIARES,50.0,San Sebastián de Palmitas,"20,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,40316.0,PP FORTALECIMIENTO DE LAS RELACIONES FAMILIARES,8.0,Villa Hermosa,"60,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40312.0,Manual De Convivencia,10.0,La Candelaria,"122,516,500",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,50080.0,PP MANUAL DE CONVIVENCIA,16.0,Belén,"30,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40198.0,Intervención Social En Las Cárceles,11.0,Laureles - Estadio,"9,274,548",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40200.0,Trabajo Con Población Reincidente,11.0,Laureles - Estadio,"949,365",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,40316.0,PP FORTALECIMIENTO DE LAS RELACIONES FAMILIARES,11.0,Laureles - Estadio,"45,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40342.0,Organizacion Y Capacitación De Vigilantes Informales,11.0,Laureles - Estadio,"35,245,550",2008.0,31-Dic-2008,,,
